RecordKey   Fecha   ErrNum  ErrMsj  TipoDocumento
525  28052012  0   Sin Error   OP133/11
526  28052012  0   Sin Error   OP134/11
527  28052012  0   Sin Error   OP135/11
528  28052012  0   Sin Error   OP136/11
529  28052012  0   Sin Error   OP137/11
531  28052012  0   Sin Error   OP139/11
539  28052012  0   Sin Error   OP147/11
543  28052012  0   Sin Error   OP151/11
545  28052012  -2028   No existen registros coincidentes ODBC -2028   OP153/11
548  28052012  0   Sin Error   OP156/11
549  28052012  0   Sin Error   OP157/11
550  28052012  0   Sin Error   OP158/11
551  28052012  0   Sin Error   OP159/11
556  28052012  0   Sin Error   OP164/11
557  28052012  0   Sin Error   OP165/11
558  28052012  0   Sin Error   OP166/11
559  28052012  0   Sin Error   OP167/11
560  28052012  0   Sin Error   OP168/11
562  28052012  0   Sin Error   OP170/11
565  28052012  0   Sin Error   OP173/11
566  28052012  0   Sin Error   OP174/11
567  28052012  0   Sin Error   OP175/11
568  28052012  0   Sin Error   OP176/11
574  28052012  0   Sin Error   OP182/11
579  28052012  0   Sin Error   OP187/11
581  28052012  0   Sin Error   OP189/11
582  28052012  0   Sin Error   OP190/11
586  28052012  0   Sin Error   OP194/11
588  28052012  -2028   No existen registros coincidentes ODBC -2028   OP196/11
589  28052012  0   Sin Error   OP197/11
591  28052012  0   Sin Error   OP199/11
594  28052012  0   Sin Error   OP200/11
599  28052012  -2028   No existen registros coincidentes ODBC -2028   OP205/11
603  28052012  0   Sin Error   OP209/11
606  28052012  0   Sin Error   OP212/11
607  28052012  0   Sin Error   OP213/11
612  28052012  0   Sin Error   OP218/11
615  28052012  0   Sin Error   OP221/11
617  28052012  0   Sin Error   OP223/11
618  28052012  -2028   No existen registros coincidentes ODBC -2028   OP224/11
624  28052012  0   Sin Error   OP230/11
628  28052012  0   Sin Error   OP234/11
629  28052012  0   Sin Error   OP235/11
630  28052012  0   Sin Error   OP236/11
631  28052012  -2028   No existen registros coincidentes ODBC -2028   OP237/11
632  28052012  0   Sin Error   OP238/11
634  28052012  0   Sin Error   OP240/11
635  28052012  0   Sin Error   OP241/11
638  28052012  0   Sin Error   OP243/11
639  28052012  -2028   No existen registros coincidentes ODBC -2028   OP244/11
640  28052012  0   Sin Error   OP245/11
641  28052012  0   Sin Error   OP246/11
643  28052012  0   Sin Error   OP248/11
645  28052012  0   Sin Error   OP250/11
647  28052012  0   Sin Error   OP252/11
650  28052012  0   Sin Error   OP255/11
653  28052012  0   Sin Error   OP258/11
654  28052012  0   Sin Error   OP259/11
655  28052012  0   Sin Error   OP260/11
656  28052012  0   Sin Error   OP261/11
657  28052012  0   Sin Error   OP262/11
658  28052012  0   Sin Error   OP263/11
659  28052012  0   Sin Error   OP264/11
660  28052012  0   Sin Error   OP265/11
662  28052012  0   Sin Error   OP267/11
663  28052012  0   Sin Error   OP268/11
664  28052012  0   Sin Error   OP269/11
665  28052012  0   Sin Error   OP270/11
666  28052012  0   Sin Error   OP271/11
667  28052012  0   Sin Error   OP272/11
672  28052012  0   Sin Error   OP277/11
675  28052012  0   Sin Error   OP280/11
676  28052012  0   Sin Error   OP281/11
677  28052012  0   Sin Error   OP282/11
678  28052012  0   Sin Error   OP283/11
679  28052012  0   Sin Error   OP284/11
680  28052012  0   Sin Error   OP285/11
681  28052012  0   Sin Error   OP286/11
683  28052012  0   Sin Error   OP288/11
684  28052012  0   Sin Error   OP289/11
687  28052012  -2028   No existen registros coincidentes ODBC -2028   OP291/11
688  28052012  0   Sin Error   OP292/11
690  28052012  0   Sin Error   OP294/11
691  28052012  0   Sin Error   OP295/11
694  28052012  -2028   No existen registros coincidentes ODBC -2028   OP298/11
695  28052012  -2028   No existen registros coincidentes ODBC -2028   OP299/11
697  28052012  0   Sin Error   OP301/11
698  28052012  0   Sin Error   OP302/11
702  28052012  0   Sin Error   OP306/11
703  28052012  0   Sin Error   OP307/11
704  28052012  0   Sin Error   OP308/11
705  28052012  0   Sin Error   OP309/11
707  28052012  0   Sin Error   OP310/11
709  28052012  -2028   No existen registros coincidentes ODBC -2028   OP312/11
710  28052012  -2028   No existen registros coincidentes ODBC -2028   OP313/11
711  28052012  0   Sin Error   OP314/11
712  28052012  -2028   No existen registros coincidentes ODBC -2028   OP315/11
713  28052012  0   Sin Error   OP316/11
714  28052012  0   Sin Error   OP317/11
715  28052012  0   Sin Error   OP318/11
716  28052012  0   Sin Error   OP319/11
